id,states,district,cause,pi,pd,year,road
1,Andhra Pradesh,Anantapur,Lack of Infrastructure,20,5,2023,Anantapur Road
2,Andhra Pradesh,Chittoor,Speeding,15,3,2023,Chittoor Road
3,Assam,Guwahati,Drunk Driving,30,8,2023,Guwahati Road
4,Assam,Dibrugarh,Distracted Driving,25,6,2023,Dibrugarh Road
5,Bihar,Patna,Lack of Road Maintenance,35,10,2023,Patna Road
6,Bihar,Gaya,Reckless Overtaking,40,12,2023,Gaya Road
7,Gujarat,Ahmedabad,Weather Conditions,18,4,2023,Ahmedabad Road
8,Gujarat,Surat,Poor Visibility,22,5,2023,Surat Road
9,Haryana,Gurgaon,Vehicle Defects,28,7,2023,Gurgaon Road
10,Haryana,Faridabad,Driver Fatigue,32,8,2023,Faridabad Road
11,Jharkhand,Ranchi,Unsafe Intersections,26,6,2023,Ranchi Road
12,Jharkhand,Dhanbad,Pedestrian Negligence,38,10,2023,Dhanbad Road
13,Karnataka,Bangalore,Heavy Traffic,16,3,2023,Bangalore Road
14,Karnataka,Mysore,Unsafe Road Design,24,5,2023,Mysore Road
15,Maharashtra,Mumbai,Poor Signage,30,8,2023,Mumbai Road
16,Maharashtra,Pune,Lack of Traffic Enforcement,28,7,2023,Pune Road
17,Madhya Pradesh,Indore,Driving Under Influence,22,5,2023,Indore Road
18,Madhya Pradesh,Bhopal,Overloaded Vehicles,26,6,2023,Bhopal Road
19,Rajasthan,Jaipur,Inadequate Lighting,24,5,2023,Jaipur Road
20,Rajasthan,Jodhpur,Animal Crossings,28,7,2023,Jodhpur Road
21,Tamil Nadu,Chennai,Road Construction,32,8,2023,Chennai Road
22,Tamil Nadu,Coimbatore,Driver Inexperience,40,12,2023,Coimbatore Road
23,Uttar Pradesh,Lucknow,Poor Road Conditions,34,9,2023,Lucknow Road
24,Uttar Pradesh,Kanpur,Improper Lane Discipline,36,10,2023,Kanpur Road
25,West Bengal,Kolkata,Vehicle Malfunction,18,4,2023,Kolkata Road
26,West Bengal,Darjeeling,Human Error,22,5,2023,Darjeeling Road
27,Andhra Pradesh,Kurnool,Speeding,18,4,2023,Kurnool Road
28,Andhra Pradesh,Guntur,Reckless Driving,23,6,2023,Guntur Road
29,Assam,Silchar,Poor Road Design,27,5,2023,Silchar Road
30,Assam,Tezpur,Driver Distraction,32,7,2023,Tezpur Road
31,Bihar,Muzaffarpur,Drunk Driving,36,8,2023,Muzaffarpur Road
32,Bihar,Darbhanga,Vehicle Overloading,40,10,2023,Darbhanga Road
33,Gujarat,Vadodara,Poor Lighting,16,3,2023,Vadodara Road
34,Gujarat,Rajkot,Animal on Road,20,4,2023,Rajkot Road
35,Haryana,Hisar,Driver Fatigue,26,6,2023,Hisar Road
36,Haryana,Karnal,Improper Signage,30,8,2023,Karnal Road
37,Jharkhand,Bokaro,Unsafe Lane Changes,24,5,2023,Bokaro Road
38,Jharkhand,Hazaribagh,Speeding,28,7,2023,Hazaribagh Road
39,Karnataka,Belgaum,Road Construction,32,8,2023,Belgaum Road
40,Karnataka,Gulbarga,Inexperienced Drivers,38,10,2023,Gulbarga Road
41,Maharashtra,Nagpur,Drunk Driving,16,3,2023,Nagpur Road
42,Maharashtra,Nashik,Vehicle Defects,20,4,2023,Nashik Road
43,Madhya Pradesh,Jabalpur,Reckless Overtaking,26,6,2023,Jabalpur Road
44,Madhya Pradesh,Gwalior,Heavy Traffic,30,8,2023,Gwalior Road
45,Rajasthan,Udaipur,Poor Road Maintenance,24,5,2023,Udaipur Road
